Commentaire,Sentiment
"""l'?uvre peut ?tre acheter par que une personne ? merci pour vos r?ponses et bonne journ?e :d""",Neutral
"""merci j'ai galerer ? comprendre et maintenant c'est plut?t clair :) du coup quand on acheter un nft l'auteur qui l'a vendu aura de l'argent r?el ?""",Positive
"""passionnant merci""",Neutral
"""best vid?o on nft.""",Positive
"""wow l'explication est super clair merci bcp!!!""",Positive
"""5:35 et si tu ach?te le caca d'elon musk tu penses que ?a ? de la valeur????",Neutral
"moi je penses qu'on vit dans un monde ou des malins on d?cid? de donner de la valeur ? du n?ant dans le but ""d'anarqu?"" un grand nombre de personne",Positive
"""tu peux tromp? 1000 fois une personne mais pas 1000 fois la m?me""",Neutral
"si voulez acheter quelque chose de valeur de l'immobilier, acheter de l'or ou de l'argent",Neutral
apr?s vous pouvez mettre un peu en bourse ou en crypto pour tester,Neutral
"mais acheter un gif que tout le monde peu avoir sur internet ...""",Neutral
"""tr?s accessible..",Positive
"en gros vos mieux ?tre connu !""",Neutral
"""merci""",Neutral
"""merci pour les explications !""",Neutral
"""quoicoubeh""",Neutral
"""bonjour ! si je fais un nft avec une image, et que quelqu'un d'autre aillant cette image ?galement (une copie du jpeg par exemple), cr?e un nft de son c?t?, qu'est ce qui d?termine qui poss?de l'original ? merci""",Positive
"""bonjour et merci pour cette video super bien faite. ce mode me parait super complexe et etrange . pour l heurec e qui m interesse c est d entrer 3 peintures en nft pour un collectionneur qui a remarque mes oeuvres sur instagram et m a demande si elles etaient sur nft et si j avais le porte monnaie numerique crypto . j avoue que je viens de visionner plusieurs videos ( la tienne est le meilleure!) mais pratiquement je ne sais pas comment faire du tout et c est urgent est ce que tu peux m aider? merci!!!!""",Positive
"""super vid?o, facile a comprendre et tr?s bien construite""",Positive
"""m e r c i",Neutral
"j'avance tr?s vite avec vous explications""",Neutral
"""tr?s bonne vid?o sur les nft, c'est un peu les oeuvres d'arts physiques mais en digitales. tu ne sais pas pourquoi 2 traits valent 1 million ?.""",Neutral
"""qu?est ce qu?il se passe si on est propri?taire d?un tweet via nft mais que le tweet est supprim? par le propri?taire du compte twitter ?""",Neutral
"""bonjour.",Neutral
"si je vends  une de mes peintures sur une plateforme de nft, la photo appartient ? l acheteur x mais plus ? moi?",Neutral
alors que j' ai l oiginal de l oeuvre   je peux la prendre en photo tou le temps? je peux partager ? je peux fabriquer des prints ? et vendre les prints ?,Neutral
mon oeuvre a particip? ? un concours et le site ( organisateur du concours) peux prendre aussi et utiliser  ses photos...?,Neutral
"en gros je m embrouille au niveau de loi , de droit et d obligation derri?re . merci pour la video et la future r?ponse""",Neutral
"""jcroyais ne pas comprendre ce que c'?tait tellement c'est stupide mais finalement c'est exactement ce que je croyais. faut vraiment etre un mat?rialiste path?tique pour acheter une niaserie du genre",Neutral
"et c'est meme pas du mat?riel, c'est digital.......""",Neutral
"""merci. simple et clair. id?al pour d?marrer.""",Neutral
"""vous suscitez de l'enthousiasme quant ? ce sujet. merci pour l'explication !""",Neutral
"""ok... donc les nft sa sert strictement ? rien ...",Positive
"d?sol? mais tout le monde peut se procurer gratuitement les images original.. donc au final c'est vraiment bidon""",Positive
"""merci""",Neutral
"""oui int?r?sent je me poser moi m?me la question de c'est quoi un nft merci j'ai bien compris .seul truc ?a reste un bien qui n'est physiquement pas r?el donc une possession inutile a mon sens.""",Neutral
"""adieu les notaires""",Neutral
"""un mod?le 3d sur blender peut-?tre un nft ?""",Neutral
"""attends un peu donc si j?ai bien compris tu ach?tes tr?s cher un truc virtuel donc qui n?existe pas dans le monde r?el et qui n?a rien co?t? du tout .mais pourquoi ?a prend autant d?empleur ? stp r?ponds ? ma question""",Neutral
"""les nft ?a peut aussi ?tre par exemple une vid?o youtube ?""",Neutral
"""merci beaucoup, j'ai mieux compris""",Neutral
"""merci pour les explications fournies.""",Neutral
"""rolala merci, je me sens moins boomer d'un coup.""",Neutral
"""si j'ai bien compris , les nft sont des biens immat?riel (servant a pas grand chose a partflex ) payable seulement en crypto ?mais pour le nyan cat par exemple : on peut l'utiliser gratuitement sans le payer mais on peut le payer quand m?me pour l'avoir ? au final ?a sert a rien ?""",Positive
"""c'est totalement d?bile ce concept ????",Neutral
"tres bonne vid?o cela dis ?""",Neutral
"""?a sers tellement ? rien pour la soci?t? les nft""",Neutral
"""une question! merci beaucoup pour ta vid?o, je voulais savoir comment faire ou cr?e un produit nft original et de grande valeur et ?tre sur que celui-ci se vende quand on est une personne lambda? merci""",Positive
"""cool g comprit""",Positive
"""super vid?o....claire, compl?te hyper bien expliqu?e",Positive
"merci pour ton travail ??""",Neutral
"""on m'a fait une offre pour acheter 5 nft (image de mes peintures). est ce cela implique des droits sur l'?uvre original (mon habilit? a vendre, exposer ou publier l'?uvre originale)? merci de votre r?ponse si vous pouvez y r?pondre. gm""",Positive
"""merci bcp, tr?s utile et simple a comprendre !""",Neutral
"""bonjour ? vous , je vis ? la r?union et il y a eu r?cemment ici un festival . r?union graffiti  2022. il y avait une chasse au tr?sor et j?ai gagn? le deuxi?me prix? une ?uvre nft . dois-je cr?er un compte pour recevoir l??uvre ? l?artiste restera propri?taire du bien ou moi ?",Neutral
"merci ? vous pour vos r?ponses ?""",Neutral
"""continue""",Neutral
"""est que l?achat d?un nft et la remise de sa cl? peut se faire en cryptomonnaie passant par une bloc cha?ne ?""",Neutral
"""merci beaucoup pour cette explication mais j'ai une question, si quelqu'un ? cr?er un nft et que ce n'est plus lui le propri?taire on aura toujours une trace du cr?ateur et du coup si on vois un nft on pourra pens? ? deux cr?ateur ?""",Neutral
"""jai kiffer""",Neutral
"""merci beaucoup pour les informations""",Neutral
"""ok""",Positive
"""et donc perso je fais du graphisme , cr?ations en r?sine je peux prendre en photo et les mettre en nft""",Neutral
"""feur""",Neutral
"""merci pour les informations je suis d?butant donc en train de chercher de la connaissance dans le digital et crypto monnaie.""",Neutral
"""le code on l?obtient comment? on le re?ois par mail?""",Neutral
"""moi je suis sur veve c'est la meilleure appli de nft dispo sur ios, android et m?me sur le web",Neutral
"des nft 3d sous licence tel que marvel, star wars, disney, 007, pixar, cartoon network, dc comics, ultraman, adventure time, universal, retour vers le futur, coca cola, givenchy, jurassic park, etc..",Neutral
"et les dirigeants ont annonc? avoir sign? plus de 250 licences qui ne sont pas encore sorti en nft comme sony, citro?n, le petit prince, warner bros, capcom, monster hunter, street fighter, dream work, kun fu panda etc...",Neutral
le paiement et le retrait en crypto arrivent dans peu de temps,Neutral
"leur metavers est aussi en cours de d?veloppement un premier aper?u devrait ?tre dispo ce week-end""",Neutral
"""super bien expliqu? avec une grande p?dagogie""",Positive
"""j'ai une question, peut on cr?er un nft d'une ?uvre dont on est pas le propri?taire ?""",Neutral
"""j'ai rarement vu des vid?os dans ce domaine l? aussi bien expliqu?es, merci beaucoup ??""",Neutral
"""slt. cool cette vid?o . ci je dessine un logo pour une marque ?ventuelle cela peut il devenir un nft int?ressant ?""",Positive
"""comment devenir riche avec le nft?""",Neutral
"""je te d?couvre et tu vulgarises hyper bien les notions que tu pr?sentes ! franchement super boulot, bravo. merci !! ?""",Positive
"""merci p""",Neutral
"""ce que je comprends c?est que ?a ne sert ? rien car la notion de copie et d?original n?a pas de sens en num?rique""",Neutral
"""mais c'est pas possible de cr?er un deuxi?me gif nyancat avec une deuxi?me clef ? comment on saura lequel est l'original puisque la clef est uniquement connue du d?tenteur ?""",Positive
"""merci pour l'explication. mais ?a reste une id?e ? la con.""",Neutral
"""en gros les skin csgo c des un peut des nft ? xd""",Neutral
"""je vends ce commentaire youtube ? 1bitcoin ?""",Neutral
"""quel monde de merde ... un monde de psychopathes ...""",Neutral
"""un autre question; ence qui concrne le domaine de l'art, est que l'artiste conserve des droits sur un nft qu'il a vendu ?""",Neutral
"""bonjour je suis d?avance desolee si ma question vous para?t ridicule. j?ai 65 ans mais le sujet m?int?resse. pourquoi parle de jeton si le nft est un objet num?rique. demain, dans le metavers, si j?ai bien compris, on pourra habiller son avatar. si par exemple je lui ach?te des chaussures de marque. est ce les chaussures qui sont le nft ou le jeton qui prouve son authenticit? ? merci de votre r?ponse .""",Neutral
"""tu n'es pas clair sur le fait que c'est pas duplicable, tu dis que tu obtiens une cref priv?e, donc tu ne peux pas la montrer, donc personne ne sait si tu es r?ellement le d?tenteur du nft""",Neutral
"""qui a le droit de vendre un tweet ? l'auteur du tweet ? twitter ? le premier qui fait une capture d'?cran ?",Neutral
"est-ce que le tweet avec 12k like peut ?tre un nft, et le m?me tweet, 2 jours apr?s, avec 26k like peut ?tre un autre nft ?""",Neutral
"""qui voudrait d?un nft sachant que n?importe qui peut en poss?der la copie exacte gratuitement et facilement ? ?a revient quand m?me ? acheter du vent et ? sp?culer dessus. le monde devient tellement fou et les ?tre humains tellement idiots que ?a pourrait bien marcher !""",Negative
"""cette chaine est une p?pite !""",Neutral
"""beau travail.""",Neutral
"""excellent, tr?s bien expliqu?, dommage qu'on peut que acheter en chrypto monnaies. meilleur vid?o,bien d?taill?e.""",Positive
"""ok, alors je sais pas si ? avoir avec, mais il me semble que ya un mec il a achet? miku hatsune (l'idol num?rique, le premier mmd et vocaloid), et au final il s'est mari? officiellement avec elle-",Positive
"bref, je dis n'importe quoi peut-?tre mais ?a m'a fait pens? ??""",Neutral
"""super vid?o merci""",Positive
"""merci ici! je veux savoir le logiciel que tu utilises pour le montage""",Neutral
"""we mais dans tout les cas apr?s m?me si ta l?original nft tu le paye cher et apr?s tu le regarde c tout ,  c n?importe quoi en vrai le monde est con m?me si sa se revendra plu cher""",Neutral
"""tu es le meilleur dans ton domaine et je te soutien au maw""",Neutral
"""superbe explication, merci ?""",Neutral
"""fuck ce monde de fou, ne les ssupporters pas, rester dans la vrai vie ?""",Negative
"""tout ceux que ?a int?resse vous pouvez vous abonner ? la cha?ne et rejoindre la team invest, on partages des m?thodes pour d?velopper vos finances !""",Neutral
"""pourquoi n'autoriser que les crypto monnaies ?""",Neutral
"""merci pour l'explication tu g?res ??""",Neutral
"""salut enissay peut tu parler du projet poulpy_nft ? merci""",Neutral
"""super clair merci :-)""",Positive
"""simple et efficace, merci pour cette explication !""",Neutral
"""top j ai tout compris merci""",Positive
"""du coup le meilleure investissement n'est pas d'acheter des nft mais de cr?e c'est propre nft pour les vendres""",Neutral
"""merci""",Neutral
"""je vois pas de l'art la dedans""",Neutral
"""en gros les nft sa serre juste a ce la p?t?""",Neutral
"""bonjour merci ? toi tu as super expliquer? bon je suis encore totalement perdu lol mais je vais au final m?informer surtout le bitcoin, la cryptomonnaie? j?ai 2 questions",Positive
"1/ je suis peintre cr?ateur de mon personnage. protege par copyright. je suis artiste auteur. est ce que si je vends une nft de mon ?uvre, est ce que je conserve mes droits d?auteur ?",Neutral
2/ les bitcoins peut on les transformer en argent ? ( je vais aller voir votre vid?o ? ce sujet ),Neutral
"merci ! ;)""",Positive
"""en gros les nft sa se r?sume a poss?der un truc qui sert a rien xd""",Neutral
"""et ducoup les d?tenteurs d'un nft le revende plus cher qu'ils l'ont achet?.",Neutral
"mais si quelqu'un veut ?tre propri?taire d'un tweet de elon musk (par exemple) il fait comment ? il demande ? elon ou il ach?te comme sa, sans pression""",Neutral
"""excellente vid?o super p?dagogique ?",Positive
"juste un point ? partager tu peux aussi associer un nft ? un objet d art physique ?""",Neutral
"""sympas tes vid?os""",Neutral
"""f?licitations pour la clart? des explications!""",Neutral
"""j?ai une question, imaginons que je copie une image d?internet et que la vend sous forme d?nft,  comment on peut savoir que c?est pas l?originale ?""",Neutral
"""mieux vaut pouvoir acheter une v?ritable ?uvre d?art""",Neutral
"""salut superbe ta vid?o maintenant je sais c'est quoi qu'un nft merci !! mais juste j'avais une petite question est ce que ont peut se lancer dans le nft a 14 ans ??""",Neutral
"""hello, tr?s int?ressant tes vid?os, est il possible de les r?utiliser""",Neutral
"""franchement ta bien expliquer ceux que sais mais genre j?ai l?impression que c?est la plus grande arnaque du si?cle je vois des chanteurs rappeur qui ach?te des images ou des genre de figurines invent? des centaines de milliers de dollars et enfin de compte ?a ne sert absolument ? rien j?ai l?impression que c?est plus ? la limite des caprices de star qui paye c?est une fortune et enfin de compte ben ces juste un ""images"" genre ? ton effigie sur le net ou m?me que t?as choisi et voil? quoi c?est tout elle t?appartient entre guillemets on s?en bat les couilles je sais pas j?ai l?impression que c?est des grosses douilles en vrais ? genre t?as eminem il a achet? sa nft je crois un demi million dollar ?a ressemble ? un singe et voil?""",Neutral
"""top merci""",Positive
"""c?est n?importe quoi.""",Neutral
"""bonjour,",Neutral
merci beaucoup pour ta vid?o tu es le seul youtubeur qui a r?ussi ? me faire comprendre.,Neutral
petite question :,Neutral
"qu'est-ce qui m'emp?che de faire un nft  ? partir d'une copie du gif ""gniancat"".",Neutral
"c'est l? o? pour moi le raisonnement se bloque. certes il y a une clef, mais si deux nft semblables sortent en m?me temps, ils auront tous les deux une clef unique etc et pourtant ils ne seront plus unique.",Positive
"merci d'avance !""",Neutral
"""merci beaucoup c'?tait trop clair l'explication et j'aimerai bien que tu nous fais un vid?o sur comment cr?er des nft. merci""",Neutral
"""un nft est comme un sac de marque ?dition limit?e,on l'ach?te pour impressionner les gens et qui enfin de compte n'a aucune valeur ajout?e.""",Neutral
"""merci pour la vid?o. mais j?ai une question, pour acheter des objets virtuels nft c?est aussi sur opensea ?""",Neutral
"""belle explication.",Neutral
"merci""",Neutral
"""feur""",Neutral
"""ta vid?o est trop bien d?taill?,?a va m'aider pour mon expos?""",Neutral
"""merci beaucoup de gens essayer de me faire comprendre ce qu??tait un nft mais je ne comprenait pas. gr?ce ? toi j?ai compris merci""",Neutral
"""je n'avais pas regard? cet vid?o par panque de temps, et je me rend cmpte que c'?tait une erreur, je n'avais pas dutout compris du sortait les nft et maintenant je comprend !",Neutral
"merci pour cette vid?o""",Neutral
"""j?en ai un je l?ai achet? 50 000?""",Neutral
"""explication au top. bravo""",Positive
"""il y a des aspects que je ne comprends pas. poss?der des nft d'une chanson par exemple ne signifie pas que tu puisses commercialiser son ?coute sur une plateforme, on est d'accord?",Neutral
ce n'est pas comme une maison de disque qui poss?de le droit de diffuser cette chanson.,Neutral
"bref, je ne comprends le lien avec le droit d'auteur existant. tout ce que je crois savoir c'est que justement les aspects juridiques sont encore en cours d'?volution....""",Neutral
"""tr?s p?dagogique. bravo""",Neutral
"""cela me me fait penser au march? des ?uvres d'arts, objet de collection,... je crains que le blanchiment d'argent ou d'autres trucs ill?gaux vont utiliser les nft pour leurs desseins.""",Neutral
"""merci pour ton travail!!""",Neutral
"""clair concis excellent.""",Positive
"""je viens de payer un nft 1$ ??""",Neutral
"""feur""",Neutral
"""merci j?ai enfin compris!! ???""",Neutral
"""j'ai une question concernant l'exemple du tweet d'elon musk",Neutral
"le premier propri?taire du nft de ce tweet est l'auteur lui m?me ou n'importe qui qui l'aurais vendu en tant que nft ?""",Neutral
"""je comprenais pas se que c??tait les nft mais en 5 min g cru ?tre immerg? d?info que j?avais comprise? c ouf""",Neutral
"""bravo pour cette vid?o ... je me sens un peu moins b?te, m?me si, franchement, l'int?r?t du syst?me m'?chappe. un peu comme la valeur d'un tweet de elon musk !!",Neutral
"ah, l'illustration est intelligente et ton personnage fort bien choisi !""",Neutral
"""c'est vraiment un concept qui me depasse. acheter une image ( grosso modo un gif) 60000$ avec de la monnaie qui n'existe pas en soit, ?a me d?passe. quand des gens bossent comme des dingues sur de vrais trucs o? pour gagner leur argent, voir des personnes se faire de la thune en fesant ( en gros ) tourner un  pc, ca m'interroge sur la valeur de la vie""",Neutral
"""tu as expliqu? ?a de mani?re si claire !! merci pour ton travail!! ce serait int?ressant d'avoir des cours sur la psychologie derri?re ce syst?me ?""",Neutral
"""tr?s bien expliqu? merci""",Neutral
"""gr?ce ? toi j'ai compris les nfts ?merci beaucoup ???""",Neutral
"""super vid?o ! je n'ai pas trouv? d'aussi bonnes explications avec un language que tout le monde peut comprendre sur google.. merci! apr?s, m?me si je trouve ?a vraiment super int?ressant le concept du nft, je trouve qu'il y a un petit c?t? flippant, par rapport notamment ? la valorisation de tel ou tel chose au regard du jugement qu'en fait la soci?t?.. sujet philosophique..:)""",Positive
"""je m'abonne direct ! super vid?o""",Positive
"""ouai les nft c'est encore dans le but de faire du business virtuel qui sert ? rien ? part faire du commerce quoi et faire des sousous""",Neutral
"""merci superbe explication. ?a m'aide beaucoup.""",Neutral
"""bien expliqu?, mais encore dans l'imaginaire""",Neutral
"""merci""",Neutral
"""je suis oblig?e de f?liciter l'animation de la vid?o ?""",Neutral
"""vraiment bien explique!! avant de voir ce video c'?tait incompr?hensible mais grace a vous je comprends beaucoup mieux""",Neutral
"""vid?o tr?s bien expliqu? cha?ne youtube ? haut potentielle pour l'avenir futur",Neutral
"continue de l?che rien le montage et la cr?ation des t'es vid?os sont tr?s bien d?taill? on comprend facilement et rapidement ???""",Neutral
"""tr?s clair et tr?s p?dagogue !""",Neutral
"""et qui te dis que mon voisin c'est pas elon musk mdr""",Neutral
"""super jai bien compris""",Positive
"""as-tu la m?me vid?o pour la metaverse? merci ? bient?t, je m'abonne""",Neutral
"""cool, tr?s p?dagogiques""",Positive
"""??jesus can change yr life""",Neutral
"""j?ai voulu me renseigner sur les nft, je suis tomb? sur ta vid?o, tu t?exprimes super bien, de mani?re claire et concise c?est top""",Positive
"""thanks c'est plus clair. il me vient 2 questions :",Positive
* pourquoi les nft se vendent/s'ach?tent par cryptomonnaie uniquement ? pouvons nous imaginer une plateforme qui commercialise les nft en $ ou ? ?,Neutral
"* qui r?gule l'entr?e sur le march? des nft et s'assure de l'authenticit? du vendeur/cr?ateur ? qu'est-ce qui m'emp?che de vendre des images dont je ne suis pas l'auteur ?""",Neutral
"""compl?tement d?bile mais merci pour l'explication""",Neutral
"""merci pour l'exp?dition simple et limpide???? mais opensea affiche error !!""",Neutral
"""merci mec gr?ce ? toi victor connais mieux les nft que les fl?chisseurs du carpe.""",Neutral
"""donc la cl? priv? d'une combinaison de 2 chiffres est non falsifiables ? personne peut retrouver le code de la cl? ?""",Neutral
"""merci vid?o tr?s efficace""",Neutral
"""merci pour l?explication c?est clair ,  ?a m?rite un pouce vers le haut""",Neutral
"""superbe vid?o, elle m?a ?clair?e sur les nft mais il y a juste une chose que je n?arrive pas ? comprendre, comment on peut vendre une nft comme le gif nian cat alors qu?elle ne nous appartient pas vraiment ? enfin c?est un peu acqu?rir la vente d?un ??bien ? qui n?est pas vraiment ? nous ? ?a me parait hyper paradoxale donc si quelqu?un pouvait me r?pondre""",Neutral
"""la meilleure vid?o sur les nft""",Neutral
"""qu'est ce que les nft apporte au propri?taire""",Neutral
"""explication tr?s claire et efficace, merci !""",Neutral
"""plut?t bien expliqu?. le sujet par contre, j'ai beau my int?resser pour comprendre, j'ai bien peur d'y ?tre imperm?able.  pour moi ce syst?me de nft est la crystalisation de toutes les d?faillances de notre syst?me de pens?e par la propri?t?, l'appropriation, la possession, l'acquisition... on ne regarde plus l'art, veut le poss?der et en faire une valeur marchande... et ?a va comme ?a pour tout... fut un temps o? un homme se payait une belle montre par amour de l'horlogerie ou des exploits en m?canique,  en orf?vrerie... aujourd'hui quand on voit des gens acheter des montres ou des objets similaires, ils demandent avant tout la cotte ou la d?cotte de l'objet une fois sortie du magasin, sans m?me se soucier de s'ils aiment l'esth?tique de l'objet ou si elle leur sera utile... ce monde est malade. un bon cataclysme qui priverait le monde d'?lectricit? remettrait tout le monde d'?querre c'est moi qui vous le dit ...""",Neutral
"""je ne te connaissais pas ?? incroyable !! j?ai vraiment bcp appris en 7min ???? j?aime bcp tes vid?os""",Neutral
"""le contenu est qualitatif et ?a se voit. continue ainsi""",Neutral
"""tr?s bien expliqu?. simple et direct.un grand merci""",Positive
"""merci pour ta vid?o ! elle est tr?s int?ressante et claire !",Neutral
"du coup, si j'ai bien compris, acheter de la nft, c'est pour frimer au final.""",Neutral
"""merci beaucoup, tout est clair""",Neutral
"""mais du coup pour ton exemple, le nyan cat le premier gars qui a cr?er le nft il doit ?tre obligatoirement l'auteur du gif ou pas ? ou c'est juste le premier gars qui a dit tien je ferais bien un nft de nyan cat ?""",Neutral
"""genre un artiste qui vend ses ?uvres, il doit payer quelques choses ou ya des taxes ? ????""",Neutral
"""c?est plus clair pour moi. merci pour cette vid?o""",Neutral
"""tr?s bien expliqu?, merci.",Neutral
"mais du coup un truc m'?chappe toujours. comment, par exemple le mec qui a achet? le gif du cat, va rentabiliser son achat? ? part avoir le ""prestige"" d'en ?tre le d?tenteur et ?ventuellement le revendre plus cher pour faire une plus value, quel est le r?el int?r?t d'investir autant dessus . puisque vu que le gif est en libre circulation (m?me si ce n'est pas l'original) personne n'a a payer pour son utilisation.",Positive
"je sais pas si tu as compris mon questionnement ? ^^""",Neutral
"""super explication !""",Positive
"""merci pour cette vid?o. concis et pr?cis. je me suis abonn? direct.""",Positive
"""j?ai trouv? trop cool la vid?o, petit like pose . mais j?ai une question est ce que je peux cr?er un nft ? par exemple on voit beaucoup d?images de nft de singe mais par exemple est ce que je peux cr?er ce genre d?image ? je sais pas si j?ai ?tait clair ?""",Positive
"""t?explique vraiment bien gg pour la vid?o de fou""",Neutral
"""les nft par rapport ? la musique ?a se passe comment ?""",Neutral
"""merci beaucoup pour tes explications je voulais en profiter pour te demander comment fait-on pour par exemple acheter un tweet de elon musk on le contact ou je ne sais pas justement j?aimerais savoir?""",Neutral
"""feur""",Neutral
"""merci !! la seule vid?o qui a pu m ?claircir ce que c ?tait les nft lol""",Positive
"""j'ai une question, tu as dit que le nft pouvait etre un investissement mais si c est un investissement c'est que l'investisseur mise sur une potentielle prise de valeur du produit. hors la prise de valeur d'un produit est bas? sur la raret? de celui-ci sauf que tout les nft ont la meme raret?, c est le principe meme de l'interet du nft, c est qu il y en a qu'un. cela veut donc dire qu'un nft prend de la valeur seulement dans la tete des personnes, prise de valeur qui est donc hyper subjective et aleatoire. ce qui fait que selon moi les nft sont le pire investissement possible mdr""",Neutral
"""merci beaucoup !""",Neutral
"""merci pour les infos !""",Neutral
"""ouf enfin j'ai compris cette histoire de nft ,merci beaucoup""",Neutral
"""super explication en peu de temps, j'adore""",Positive
